bench,tray,expect_layer,sorted_Elayer,actural_layer,plots,innoculator,jars,harvest_time,lines,reps,number
2,65,129,1,2,8731,3,19,2,29,16,10
2,67,133,1,1,8989,3,21,6,29,17,22
1,12,23,1,2,1517,1,3,5,30,3,2
1,14,28,2,1,1867,1,3,3,30,4,3
1,20,40,2,1,2694,1,9,7,30,5,3
1,29,57,1,1,3848,1,3,9,30,6,4
1,33,65,1,1,4356,4,7,10,30,7,1
1,34,67,1,1,4498,4,7,10,30,8,3
2,49,98,2,1,6650,6,12,6,30,12,17
2,81,161,1,1,10923,3,27,3,30,20,2
1,18,35,1,2,2338,2,4,6,31,7,5
2,49,97,1,1,6578,6,12,6,31,11,17
2,63,125,1,1,8447,2,19,2,31,17,4
2,64,127,1,1,8616,3,19,2,31,18,3
1,12,24,2,1,1543,1,3,5,32,3,3
1,13,25,1,2,1637,2,3,5,32,4,13
1,19,37,1,2,2461,2,4,6,32,5,18
1,31,61,1,1,4123,4,3,9,32,7,10
2,54,107,1,1,7218,6,14,6,32,14,11
2,59,117,1,1,7902,5,5,9,32,15,8
2,66,132,2,2,8943,3,21,6,32,16,17
1,5,10,2,1,679,1,1,3,33,2,5
1,17,34,2,1,2312,1,9,4,33,3,3
1,39,77,1,1,5180,4,8,11,33,11,4
2,44,87,1,2,5854,4,10,2,33,12,14
2,55,110,2,2,7463,6,15,5,33,16,9
1,2,3,1,2,151,1,1,1,34,1,17
1,11,21,1,1,1432,2,9,4,34,3,17
1,17,33,1,2,2227,1,9,4,34,4,15
1,19,38,2,1,2555,2,4,6,34,5,2
1,21,41,1,1,2761,1,9,7,34,6,7
1,23,45,1,2,3021,1,5,8,34,7,13
1,34,68,2,1,4607,4,7,10,34,10,4
2,49,98,2,2,6611,6,12,6,34,14,7
2,61,122,2,2,8261,3,18,6,34,16,10
2,63,125,1,1,8494,2,19,2,34,17,8
2,64,128,2,1,8645,3,19,2,34,18,2
2,68,136,2,2,9245,3,22,5,34,19,4
2,70,140,2,1,9486,3,22,3,34,20,10
2,73,146,2,1,9915,3,23,8,34,21,4
1,9,18,2,2,1180,1,2,3,35,2,7
1,13,26,2,1,1747,2,3,5,35,3,1
1,14,28,2,1,1780,1,3,3,35,4,10
1,15,29,1,2,1966,1,3,3,35,5,11
1,22,43,1,2,2873,1,5,8,35,6,5
2,46,91,1,1,6193,2,5,9,35,12,3
2,53,106,2,1,7203,6,14,6,35,15,3
2,56,112,2,1,7612,6,16,6,35,17,3
1,15,30,2,2,2022,1,3,3,36,3,7
1,16,32,2,2,2133,2,3,3,36,4,17
1,34,67,1,1,4499,4,7,10,36,7,10
1,38,75,1,1,5048,4,8,8,36,9,3
2,58,115,1,2,7794,5,17,6,36,17,5
1,1,2,2,2,79,1,1,1,37,1,8
1,3,6,2,1,354,1,1,1,37,3,4
1,25,49,1,2,3324,4,3,9,37,7,11
1,27,54,2,2,3646,4,6,2,37,8,12
1,28,56,2,1,3796,1,6,2,37,9,13
1,31,62,2,2,4192,4,3,9,37,10,7
1,39,77,1,1,5236,4,8,11,37,11,15
2,43,86,2,1,5810,4,10,2,37,12,19
2,44,87,1,1,5860,4,10,2,37,13,15
2,53,106,2,2,7195,6,14,6,37,15,8
2,66,131,1,2,8879,3,21,6,37,16,5
2,70,140,2,2,9468,3,22,3,37,18,1
1,14,27,1,1,1783,1,3,3,39,5,13
2,50,99,1,1,6711,6,12,6,39,12,10
2,52,104,2,1,7063,6,13,6,39,13,11
2,59,118,2,1,7985,5,5,9,39,14,8
2,79,158,2,1,10657,2,26,2,39,20,5
1,17,34,2,2,2268,1,9,4,40,4,22
1,19,38,2,1,2517,2,4,6,40,5,12
1,38,75,1,1,5099,4,8,8,40,11,29
2,52,104,2,2,7043,6,13,6,40,14,24
2,59,117,1,2,7956,5,5,9,40,16,5
2,72,144,2,1,9739,3,23,8,40,17,8
1,24,47,1,1,3136,3,5,8,41,5,13
1,28,56,2,1,3766,1,6,2,41,7,8
1,32,64,2,1,4321,2,7,10,41,9,5
1,35,69,1,1,4690,4,7,10,41,10,5
2,61,121,1,2,8220,3,18,6,41,16,16
2,73,146,2,2,9872,3,23,8,41,17,1
2,74,148,2,2,10037,3,24,5,41,18,1
1,15,30,2,1,2016,1,3,3,42,3,5
1,27,54,2,1,3643,4,6,2,42,6,8
1,29,58,2,2,3885,1,3,9,42,7,6
1,41,82,2,1,5560,4,3,9,42,10,3
2,57,113,1,1,7674,6,7,12,42,12,10
2,72,143,1,1,9708,3,23,8,42,16,11
2,79,157,1,2,10655,2,26,2,42,17,13
2,84,167,1,2,11357,3,20,2,42,21,15
1,3,6,2,2,373,1,1,1,43,1,4
1,13,26,2,1,1683,2,3,5,43,2,2
1,27,54,2,2,3661,4,6,2,43,6,2
1,28,55,1,2,3695,1,6,2,43,7,11
1,40,79,1,1,5367,4,9,5,43,9,15
2,43,85,1,1,5779,4,10,2,43,11,16
