bench,tray,expect_layer,sorted_Elayer,actural_layer,plots,innoculator,jars,harvest_time,lines,reps,number
1,4,7,1,1,429,1,20,2,88,1,5
1,27,54,2,2,3635,4,6,2,88,6,3
1,35,70,2,1,4707,4,7,10,88,7,4
1,37,74,2,1,4982,4,8,8,88,9,1
1,40,80,2,2,5407,4,9,5,88,10,1
2,52,103,1,1,6987,6,13,6,88,11,8
2,53,106,2,1,7196,6,14,6,88,12,7
2,54,107,1,1,7215,6,14,6,88,13,4
2,58,116,2,2,7854,5,17,6,88,14,4
2,69,138,2,2,9362,3,14,13,88,17,5
1,36,72,2,1,20017,4,8,8,88,30,4
1,3,6,2,1,402,1,1,1,89,3,6
1,22,43,1,1,2905,1,5,8,89,7,7
1,30,59,1,1,3959,5,7,5,89,9,6
1,38,75,1,2,5087,4,8,8,89,10,8
1,40,80,2,2,5356,4,9,5,89,11,8
2,43,86,2,1,5820,4,10,2,89,12,3
2,72,143,1,1,9706,3,23,8,89,19,10
2,74,148,2,2,10052,3,24,5,89,20,1
1,24,47,1,1,3169,3,5,8,90,6,14
1,35,70,2,1,4740,4,7,10,90,10,2
2,48,96,2,1,6517,6,10,9,90,13,7
1,24,48,2,2,3211,3,5,8,91,8,5
1,34,67,1,1,4536,4,7,10,91,10,12
2,46,91,1,1,6187,2,5,9,91,11,3
2,53,106,2,1,7188,6,14,6,91,14,7
2,57,114,2,1,7739,6,7,12,91,16,8
2,72,144,2,1,9775,3,23,8,91,19,1
1,22,44,2,2,2990,1,5,8,92,4,2
1,27,54,2,1,3670,4,6,2,92,5,1
1,33,65,1,1,4414,4,7,10,92,7,7
2,44,87,1,1,5901,4,10,2,92,11,7
2,45,90,2,2,6106,2,5,9,92,12,5
2,62,123,1,2,8358,5,19,2,92,14,2
2,67,133,1,1,9042,3,21,6,92,17,1
2,75,149,1,1,10105,3,24,3,92,19,3
2,78,155,1,1,10495,2,26,2,92,20,2
1,21,42,2,1,20018,1,9,7,92,30,5
1,5,9,1,1,614,1,1,3,93,2,4
1,6,12,2,2,777,1,1,3,93,3,5
1,12,24,2,1,1612,1,3,5,93,5,1
1,18,36,2,1,2376,2,4,6,93,6,9
1,33,65,1,1,4412,4,7,10,93,9,9
2,56,112,2,2,7600,6,16,6,93,16,9
1,11,22,2,2,1441,2,9,4,94,1,9
1,14,28,2,1,1870,1,3,3,94,2,1
1,18,36,2,1,2446,2,4,6,94,3,3
1,22,44,2,1,2961,1,5,8,94,4,3
1,26,51,1,2,3435,5,6,2,94,5,2
1,31,62,2,2,4187,4,3,9,94,6,8
1,33,66,2,1,4488,4,7,10,94,7,7
1,39,77,1,1,5226,4,8,11,94,9,10
1,40,80,2,1,5434,4,9,5,94,10,5
1,42,84,2,2,5664,4,20,2,94,11,1
2,52,103,1,2,6981,6,13,6,94,12,9
2,54,107,1,2,7243,6,14,6,94,13,11
2,58,116,2,2,7804,5,17,6,94,14,5
2,64,128,2,2,8669,3,19,2,94,15,2
2,67,133,1,1,9039,3,21,6,94,16,8
2,69,137,1,2,9255,3,14,13,94,17,3
2,77,154,2,1,10465,2,24,3,94,20,1
2,81,162,2,2,11008,3,27,3,94,21,2
1,9,18,2,1,1172,1,2,3,95,1,10
1,24,47,1,1,3150,3,5,8,95,6,5
1,31,62,2,1,4101,4,3,9,95,8,8
2,43,85,1,1,5763,4,10,2,95,12,2
2,64,127,1,1,8573,3,19,2,95,16,3
1,1,1,1,2,48,1,1,1,96,1,1
1,3,6,2,1,359,1,1,1,96,2,12
1,8,15,1,2,1028,2,2,1,96,4,6
1,9,17,1,1,1134,1,2,3,96,5,6
1,14,27,1,1,1810,1,3,3,96,7,3
1,33,66,2,2,4456,4,7,10,96,10,5
2,44,88,2,1,5984,4,10,2,96,12,11
2,48,95,1,1,6440,6,10,9,96,14,12
2,57,114,2,1,7703,6,7,12,96,15,2
1,9,18,2,2,1208,1,2,3,97,1,12
1,11,22,2,2,1449,2,9,4,97,2,4
1,25,49,1,1,3285,4,3,9,97,6,12
1,26,51,1,2,3464,5,6,2,97,7,5
1,31,61,1,2,4144,4,3,9,97,8,10
1,37,74,2,1,4985,4,8,8,97,9,9
1,41,82,2,1,5544,4,3,9,97,10,8
2,43,86,2,2,5833,4,10,2,97,11,18
2,45,90,2,1,6084,2,5,9,97,12,9
2,59,117,1,2,7927,5,5,9,97,15,17
2,61,122,2,1,8286,3,18,6,97,17,12
2,67,134,2,1,9071,3,21,6,97,18,3
2,81,162,2,2,10970,3,27,3,97,20,1
1,3,6,2,2,398,1,1,1,98,1,5
1,5,10,2,1,662,1,1,3,98,2,6
1,25,49,1,1,3340,4,3,9,98,5,9
1,31,61,1,2,4106,4,3,9,98,6,11
1,33,65,1,1,4372,4,7,10,98,7,12
1,37,74,2,1,4978,4,8,8,98,9,1
2,45,90,2,2,6064,2,5,9,98,11,13
2,47,93,1,2,6318,2,10,9,98,12,13
2,54,108,2,1,7296,6,14,6,98,15,10
2,61,121,1,2,8187,3,18,6,98,16,6
2,63,126,2,1,8548,2,19,2,98,17,1
2,84,167,1,1,11320,3,20,2,98,21,1
1,4,7,1,1,456,1,20,2,99,1,6
1,17,33,1,1,2194,1,9,4,99,5,7
1,18,35,1,1,2342,2,4,6,99,6,11
1,24,48,2,1,3259,3,5,8,99,7,9
1,28,55,1,1,3745,1,6,2,99,8,6
1,29,57,1,2,3812,1,3,9,99,9,12
2,52,103,1,1,6948,6,13,6,99,12,13
2,57,113,1,2,7684,6,7,12,99,13,9
2,64,127,1,1,8586,3,19,2,99,15,9
1,16,32,2,1,2162,2,3,3,100,3,5
1,17,33,1,2,2222,1,9,4,100,4,5
1,20,40,2,1,2720,1,9,7,100,5,2
1,39,78,2,2,5268,4,8,11,100,9,4
1,42,83,1,2,5581,4,20,2,100,11,14
2,44,87,1,1,5849,4,10,2,100,12,5
2,46,92,2,1,6253,2,5,9,100,13,10
2,50,100,2,1,6791,6,12,6,100,15,2
2,60,119,1,1,8084,5,18,6,100,17,2
2,72,144,2,1,9788,3,23,8,100,18,7
2,74,147,1,1,9989,3,24,5,100,19,9
1,6,11,1,1,687,1,1,3,101,3,15
2,43,85,1,1,5726,4,10,2,101,12,9
2,44,88,2,2,5976,4,10,2,101,13,16
2,45,89,1,1,6011,2,5,9,101,14,16
2,82,164,2,2,11119,3,27,3,101,21,3
1,10,19,1,2,1286,1,2,3,102,1,3
1,25,49,1,2,3289,4,3,9,102,4,10
1,39,78,2,1,5256,4,8,11,102,10,13
2,49,98,2,1,6661,6,12,6,102,13,12
1,4,7,1,2,455,1,20,2,103,1,6
1,5,10,2,1,611,1,1,3,103,2,13
1,11,22,2,1,1444,2,9,4,103,3,6
1,14,28,2,1,1851,1,3,3,103,4,8
1,15,30,2,2,2021,1,3,3,103,5,13
1,20,39,1,1,2595,1,9,7,103,7,6
1,24,48,2,1,3192,3,5,8,103,9,7
1,29,57,1,1,3833,1,3,9,103,11,20
2,65,130,2,1,8796,3,19,2,103,16,4
2,66,132,2,1,8955,3,21,6,103,17,5
1,6,12,2,2,802,1,1,3,104,1,13
1,10,20,2,2,1330,1,2,3,104,2,5
1,18,35,1,1,2330,2,4,6,104,6,4
1,30,59,1,1,3993,5,7,5,104,10,3
2,61,122,2,2,8269,3,18,6,104,15,21
2,66,131,1,1,8872,3,21,6,104,17,4
2,79,158,2,1,10742,2,26,2,104,20,2
2,80,159,1,1,10760,2,27,3,104,21,18
1,10,19,1,1,1228,1,2,3,105,2,1
1,35,69,1,1,4647,4,7,10,105,9,17
1,42,84,2,2,5680,4,20,2,105,10,14
2,57,113,1,2,7619,6,7,12,105,16,18
2,84,167,1,1,11333,3,20,2,105,21,2
1,5,9,1,1,555,1,1,3,107,1,26
1,9,18,2,1,1205,1,2,3,107,3,10
1,24,48,2,2,3234,3,5,8,107,6,10
1,39,77,1,2,5207,4,8,11,107,8,25
1,41,81,1,1,5475,4,3,9,107,10,31
2,52,104,2,1,7031,6,13,6,107,14,29
2,54,108,2,1,7344,6,14,6,107,15,8
2,64,128,2,2,8663,3,19,2,107,17,14
2,66,131,1,2,8882,3,21,6,107,18,30
2,79,158,2,1,10720,2,26,2,107,20,4
1,14,28,2,2,1855,1,3,3,108,3,4
2,44,88,2,2,5932,4,10,2,108,12,17
2,55,109,1,2,7365,6,15,5,108,16,14
2,77,153,1,2,10355,2,24,3,108,21,8
1,21,41,1,1,2786,1,9,7,109,3,5
1,25,49,1,2,3330,4,3,9,109,4,21
2,55,109,1,1,7392,6,15,5,109,14,31
2,56,111,1,1,7556,6,16,6,109,15,4
2,72,143,1,1,9730,3,23,8,109,17,5
2,77,154,2,1,10442,2,24,3,109,18,2
2,79,158,2,1,10711,2,26,2,109,20,3
2,84,167,1,1,11313,3,20,2,109,21,4
1,36,72,2,1,20021,4,8,8,109,30,18
1,2,3,1,1,166,1,1,1,110,1,7
1,20,39,1,2,2656,1,9,7,110,7,4
1,34,67,1,2,4538,4,7,10,110,11,12
2,45,89,1,1,6024,2,5,9,110,13,14
1,20,40,2,1,2679,1,9,7,112,7,4
1,38,75,1,1,5093,4,8,8,112,9,9
2,54,107,1,1,7284,6,14,6,112,13,12
2,55,109,1,1,7348,6,15,5,112,14,2
2,60,120,2,1,8121,5,18,6,112,16,3
1,12,23,1,1,1507,1,3,5,113,1,7
1,17,34,2,2,2265,1,9,4,113,2,14
1,19,37,1,1,2484,2,4,6,113,3,1
1,29,57,1,1,3846,1,3,9,113,5,9
1,31,62,2,2,4186,4,3,9,113,6,12
1,37,74,2,1,5005,4,8,8,113,8,20
1,40,79,1,2,5320,4,9,5,113,9,22
2,43,86,2,1,5845,4,10,2,113,11,2
2,62,123,1,1,8318,5,19,2,113,13,12
2,67,133,1,1,8980,3,21,6,113,16,12
2,68,136,2,1,9210,3,22,5,113,17,10
1,9,18,2,1,1128,1,2,3,114,1,3
1,12,23,1,2,1510,1,3,5,114,2,2
1,17,33,1,2,2238,1,9,4,114,4,5
1,30,60,2,1,4043,5,7,5,114,8,1
1,33,66,2,1,4465,4,7,10,114,9,8
1,38,75,1,1,5066,4,8,8,114,10,5
2,53,105,1,2,7121,6,14,6,114,14,20
2,62,124,2,2,8376,5,19,2,114,16,7
2,65,129,1,1,8739,3,19,2,114,17,22
2,67,134,2,2,9083,3,21,6,114,18,5
2,84,167,1,1,11353,3,20,2,114,21,7
1,5,9,1,2,579,1,1,3,115,1,11
1,12,23,1,2,1538,1,3,5,115,2,6
1,37,73,1,1,4927,4,8,8,115,10,14
2,66,131,1,1,8857,3,21,6,115,17,10
2,84,168,2,1,11417,3,20,2,115,21,1
1,5,9,1,1,599,1,1,3,116,3,10
1,32,63,1,1,4274,2,7,10,116,9,6
2,43,86,2,1,5835,4,10,2,116,12,6
2,44,88,2,1,5866,4,10,2,116,13,14
2,59,118,2,2,7972,5,5,9,116,15,3
2,61,121,1,1,8214,3,18,6,116,16,7
1,6,12,2,1,812,1,1,3,117,2,6
1,19,38,2,1,2540,2,4,6,117,5,7
1,35,69,1,2,4667,4,7,10,117,9,5
2,58,115,1,1,7777,5,17,6,117,14,14
2,72,144,2,2,9786,3,23,8,117,19,4
1,5,10,2,2,676,1,1,3,118,3,12
1,32,64,2,1,4342,2,7,10,118,6,5
1,34,67,1,1,4508,4,7,10,118,7,5
1,35,70,2,1,4747,4,7,10,118,8,2
1,40,79,1,2,5345,4,9,5,118,10,14
2,55,109,1,1,7390,6,15,5,118,14,2
2,61,121,1,1,8168,3,18,6,118,15,6
2,65,129,1,2,8756,3,19,2,118,17,4
1,25,50,2,1,3272,4,3,9,120,7,14
1,30,59,1,2,3969,5,7,5,120,8,8
1,16,32,2,2,2159,2,3,3,121,3,19
1,29,57,1,1,3853,1,3,9,121,7,2
2,54,107,1,1,7252,6,14,6,121,14,9
1,6,11,1,1,740,1,1,3,122,3,8
1,25,49,1,2,3317,4,3,9,122,7,5
1,31,61,1,2,4107,4,3,9,122,9,3
1,28,55,1,1,3743,1,6,2,123,7,12
2,60,119,1,1,8073,5,18,6,123,15,13
2,70,139,1,2,9436,3,22,3,123,19,8
1,5,9,1,1,595,1,1,3,124,1,7
1,7,13,1,2,817,1,2,1,124,2,10
1,20,39,1,1,2604,1,9,7,124,6,10
1,27,53,1,1,3597,4,6,2,124,8,9
1,31,61,1,1,4147,4,3,9,125,7,9
2,67,133,1,1,9005,3,21,6,125,18,23
1,1,2,2,1,99,1,1,1,127,1,7
1,15,30,2,1,2008,1,3,3,127,2,22
1,18,35,1,1,2315,2,4,6,127,4,1
1,20,39,1,1,2636,1,9,7,127,6,29
1,37,73,1,2,4950,4,8,8,127,8,22
1,40,79,1,2,5338,4,9,5,127,9,28
1,41,81,1,1,5483,4,3,9,127,10,10
2,43,86,2,2,5847,4,10,2,127,11,14
2,62,124,2,2,8361,5,19,2,127,15,16
2,69,138,2,1,9349,3,14,13,127,17,13
2,73,145,1,1,9801,3,23,8,127,18,3
2,81,161,1,1,10935,3,27,3,127,19,14
2,83,166,2,2,11265,3,20,2,127,20,1
2,84,168,2,2,11407,3,20,2,127,21,3
1,1,2,2,2,136,1,1,1,128,1,6
1,5,10,2,2,643,1,1,3,128,3,12
1,7,14,2,2,946,1,2,1,128,4,12
1,13,26,2,1,1765,2,3,5,128,5,4
1,19,37,1,2,2450,2,4,6,128,7,27
1,28,56,2,2,3764,1,6,2,128,9,16
2,43,86,2,2,5804,4,10,2,128,12,22
2,44,88,2,1,5943,4,10,2,128,13,30
2,55,110,2,2,7458,6,15,5,128,15,17
2,66,131,1,1,8908,3,21,6,128,18,19
2,70,140,2,1,9483,3,22,3,128,19,6
2,72,144,2,1,9760,3,23,8,128,20,1
2,81,161,1,1,10889,3,27,3,128,21,5
1,36,71,1,1,20028,4,8,8,128,30,25
1,9,17,1,2,1105,1,2,3,129,4,5
1,13,25,1,1,1682,2,3,5,129,6,5
1,25,50,2,1,3390,4,3,9,129,8,13
1,29,57,1,1,3879,1,3,9,129,10,1
2,65,129,1,1,8715,3,19,2,129,17,4
2,71,141,1,2,9530,3,22,3,129,19,10
1,5,9,1,1,581,1,1,3,130,3,21
1,16,32,2,1,2152,2,3,3,130,5,14
1,17,34,2,2,2254,1,9,4,130,6,10
1,30,59,1,1,3996,5,7,5,130,9,8
1,37,74,2,2,4988,4,8,8,130,10,10
2,54,107,1,1,7248,6,14,6,130,14,12
2,82,164,2,2,11137,3,27,3,130,21,3
1,7,13,1,2,827,1,2,1,131,2,9
1,14,27,1,2,1790,1,3,3,131,4,14
1,18,35,1,1,2318,2,4,6,131,5,2
1,22,43,1,1,2894,1,5,8,131,6,26
1,37,73,1,1,4901,4,8,8,131,9,12
1,42,83,1,1,5644,4,20,2,131,11,6
2,80,159,1,1,10749,2,27,3,131,20,16
1,2,3,1,1,206,1,1,1,132,2,15
1,18,35,1,1,2362,2,4,6,132,3,4
2,43,85,1,1,5755,4,10,2,132,11,19
2,53,105,1,1,7114,6,14,6,132,14,15
2,56,111,1,2,7527,6,16,6,132,17,33
2,58,116,2,2,7882,5,17,6,132,18,2
2,66,131,1,2,8863,3,21,6,132,19,10
1,1,1,1,1,60,1,1,1,133,1,22
1,2,4,2,1,236,1,1,1,133,2,12
1,11,21,1,2,1420,2,9,4,133,3,28
1,22,44,2,1,2989,1,5,8,133,4,10
1,24,47,1,1,3165,3,5,8,133,5,16
1,33,65,1,2,4373,4,7,10,133,7,20
1,34,67,1,1,4535,4,7,10,133,8,37
2,70,139,1,1,9421,3,22,3,133,15,8
2,74,148,2,2,10047,3,24,5,133,16,5
2,76,152,2,1,10285,3,24,3,133,18,5
2,80,159,1,1,10812,2,27,3,133,20,10
1,13,25,1,2,1673,2,3,5,134,2,18
1,42,83,1,1,5598,4,20,2,134,11,21
2,54,107,1,1,7279,6,14,6,134,13,19
2,65,129,1,2,8754,3,19,2,134,17,18
1,5,10,2,2,678,1,1,3,135,1,8
1,8,15,1,2,972,2,2,1,135,3,29
1,12,23,1,1,1553,1,3,5,135,4,10
1,13,25,1,1,1650,2,3,5,135,5,20
1,22,44,2,1,2944,1,5,8,135,6,11
1,25,49,1,1,3292,4,3,9,135,7,12
2,67,134,2,1,9111,3,21,6,135,17,6
1,14,27,1,1,1805,1,3,3,138,5,21
2,43,85,1,2,5785,4,10,2,138,12,14
2,47,93,1,1,6329,2,10,9,138,13,17
2,57,113,1,1,7647,6,7,12,138,16,12
1,20,39,1,2,2637,1,9,7,139,5,20
1,23,45,1,1,3043,1,5,8,139,6,22
1,24,47,1,1,3135,3,5,8,139,7,14
1,25,50,2,1,3363,4,3,9,139,8,14
1,20,39,1,1,2650,1,9,7,140,2,5
1,29,58,2,1,3894,1,3,9,140,5,10
1,40,79,1,1,5335,4,9,5,140,10,23
2,46,92,2,1,6220,2,5,9,140,11,10
2,47,93,1,1,6317,2,10,9,140,12,2
2,49,98,2,1,6619,6,12,6,140,13,12
2,71,141,1,1,9539,3,22,3,140,18,3
2,77,153,1,2,10395,2,24,3,140,20,11
1,19,38,2,2,2530,2,4,6,142,4,4
1,23,45,1,2,3012,1,5,8,142,7,2
1,37,74,2,1,5032,4,8,8,142,10,8
2,78,155,1,1,10513,2,26,2,142,19,5
2,84,167,1,1,11314,3,20,2,142,21,6
1,5,10,2,2,622,1,1,3,143,1,6
1,18,36,2,1,2422,2,4,6,143,4,13
1,21,41,1,2,2780,1,9,7,143,5,3
1,38,76,2,1,5154,4,8,8,143,8,5
1,39,77,1,2,5190,4,8,11,143,9,6
2,48,95,1,1,6464,6,10,9,143,13,16
2,54,107,1,2,7236,6,14,6,143,15,8
2,70,140,2,1,9514,3,22,3,143,19,5
1,8,15,1,1,987,2,2,1,144,3,12
1,10,20,2,1,1350,1,2,3,144,4,2
2,58,115,1,1,7824,5,17,6,144,13,21
2,59,118,2,1,7917,5,5,9,144,14,3
2,64,127,1,1,8609,3,19,2,144,16,2
2,76,151,1,1,10233,3,24,3,144,18,9
1,19,38,2,2,2570,2,4,6,145,2,4
1,41,82,2,1,5504,4,3,9,145,10,4
2,49,97,1,1,6545,6,12,6,145,11,13
2,58,115,1,2,7790,5,17,6,145,14,3
2,83,165,1,2,11154,3,20,2,145,21,4
1,6,11,1,2,683,1,1,3,146,2,7
1,23,46,2,1,3104,1,5,8,146,5,9
1,40,79,1,1,5368,4,9,5,146,9,14
2,72,143,1,1,9692,3,23,8,146,16,8
2,82,163,1,1,11081,3,27,3,146,20,4
2,84,167,1,1,11296,3,20,2,146,21,5
1,20,39,1,2,2657,1,9,7,148,2,6
1,21,42,2,1,2819,1,9,7,148,3,5
1,25,49,1,1,3282,4,3,9,148,5,11
1,36,71,1,2,20034,4,8,8,148,30,7
1,5,10,2,1,650,1,1,3,149,2,4
1,17,34,2,2,2283,1,9,4,149,4,7
1,20,39,1,2,2586,1,9,7,149,5,9
1,23,45,1,1,3005,1,5,8,149,6,3
1,33,66,2,2,4472,4,7,10,149,8,6
1,41,81,1,1,5514,4,3,9,149,10,11
1,42,83,1,2,5588,4,20,2,149,11,7
2,43,85,1,1,5778,4,10,2,149,12,6
1,4,7,1,2,418,1,20,2,150,2,6
1,21,42,2,1,2770,1,9,7,150,3,4
1,22,44,2,2,2965,1,5,8,150,4,4
1,29,58,2,2,3935,1,3,9,150,6,6
1,40,80,2,1,5405,4,9,5,150,9,8
2,45,89,1,1,6054,2,5,9,150,12,12
2,56,112,2,2,7601,6,16,6,150,14,10
2,78,155,1,1,10524,2,26,2,150,17,10
2,79,157,1,2,10675,2,26,2,150,18,4
1,5,9,1,2,613,1,1,3,151,1,2
1,28,55,1,1,3731,1,6,2,151,6,3
1,31,62,2,2,4173,4,3,9,151,7,7
1,38,76,2,2,5160,4,8,8,151,9,7
1,42,83,1,1,5603,4,20,2,151,11,11
2,47,94,2,1,6352,2,10,9,151,13,11
2,78,155,1,1,10474,2,26,2,151,19,6
2,81,161,1,1,10917,3,27,3,151,21,7
1,16,31,1,1,2071,2,3,3,152,3,8
2,45,90,2,1,6118,2,5,9,152,11,5
2,60,119,1,1,8049,5,18,6,152,16,6
1,4,8,2,1,438,1,20,2,153,1,9
1,19,37,1,1,2499,2,4,6,153,2,11
1,22,43,1,1,2879,1,5,8,153,4,32
1,24,48,2,2,3250,3,5,8,153,5,9
1,27,54,2,1,3641,4,6,2,153,6,11
1,35,69,1,2,4640,4,7,10,153,8,10
1,38,75,1,1,5073,4,8,8,153,9,10
1,42,84,2,2,5684,4,20,2,153,10,8
2,58,116,2,1,7887,5,17,6,153,14,4
2,67,134,2,1,9112,3,21,6,153,16,1
2,70,140,2,2,9490,3,22,3,153,17,1
2,79,157,1,1,10631,2,26,2,153,20,8
1,1,1,1,1,51,1,1,1,154,1,7
1,31,62,2,2,4170,4,3,9,154,6,4
1,35,69,1,1,4662,4,7,10,154,7,2
1,37,73,1,1,4914,4,8,8,154,9,6
1,41,81,1,1,5445,4,3,9,154,10,6
2,49,98,2,1,6645,6,12,6,154,11,8
1,18,35,1,1,2386,2,4,6,155,4,24
1,25,49,1,1,3337,4,3,9,155,6,5
1,27,53,1,1,3610,4,6,2,155,8,5
1,38,75,1,2,5047,4,8,8,155,10,12
2,66,132,2,1,8965,3,21,6,155,17,3
1,2,4,2,1,223,1,1,1,156,1,9
1,18,36,2,1,2393,2,4,6,156,4,8
1,40,80,2,1,5411,4,9,5,156,9,8
1,42,84,2,2,5678,4,20,2,156,10,9
2,49,97,1,1,6584,6,12,6,156,12,17
2,55,110,2,1,7449,6,15,5,156,13,6
2,71,141,1,2,9560,3,22,3,156,17,9
1,8,15,1,2,983,2,2,1,157,2,10
1,12,24,2,1,1582,1,3,5,157,3,4
1,17,33,1,1,2190,1,9,4,157,6,14
1,34,67,1,1,4519,4,7,10,157,9,10
1,41,81,1,1,5481,4,3,9,157,11,9
2,63,126,2,2,8521,2,19,2,157,15,2
2,64,127,1,2,8603,3,19,2,157,16,10
2,77,153,1,1,10391,2,24,3,157,20,3
1,9,18,2,1,1174,1,2,3,158,2,6
1,39,78,2,1,5297,4,8,11,158,9,8
2,43,86,2,1,5816,4,10,2,158,11,37
2,46,91,1,2,6150,2,5,9,158,12,15
2,48,95,1,1,6396,6,10,9,158,14,25
1,1,1,1,1,3,1,1,1,159,1,9
1,5,9,1,1,560,1,1,3,159,2,14
1,10,20,2,1,1360,1,2,3,159,3,9
1,21,41,1,1,2748,1,9,7,159,5,16
1,28,55,1,2,3721,1,6,2,159,6,7
1,41,82,2,2,5549,4,3,9,159,10,9
2,44,87,1,1,5891,4,10,2,159,12,13
2,79,157,1,1,10641,2,26,2,159,20,1
1,16,31,1,1,2060,2,3,3,160,4,13
2,64,127,1,2,8641,3,19,2,160,15,6
2,73,146,2,2,9905,3,23,8,160,19,1
1,4,7,1,1,412,1,20,2,161,1,7
1,8,15,1,1,954,2,2,1,161,3,7
1,9,18,2,1,1176,1,2,3,161,4,10
1,14,27,1,1,1831,1,3,3,161,5,8
1,16,31,1,1,2079,2,3,3,161,6,10
1,27,53,1,1,3553,4,6,2,161,9,14
1,42,83,1,2,5648,4,20,2,161,11,6
2,57,114,2,2,7699,6,7,12,161,14,2
2,73,145,1,2,9816,3,23,8,161,18,18
2,74,147,1,1,9961,3,24,5,161,19,11
1,8,16,2,2,1085,2,2,1,162,1,6
1,9,17,1,1,1110,1,2,3,162,2,13
1,14,27,1,1,1770,1,3,3,162,4,15
1,15,29,1,2,1969,1,3,3,162,5,8
1,23,46,2,2,3111,1,5,8,162,7,13
1,25,50,2,1,3348,4,3,9,162,8,16
1,30,59,1,1,3990,5,7,5,162,9,3
1,41,81,1,2,5455,4,3,9,162,10,4
2,45,90,2,1,6094,2,5,9,162,12,20
2,53,105,1,2,7119,6,14,6,162,13,16
2,60,119,1,2,8086,5,18,6,162,15,18
2,70,139,1,1,9426,3,22,3,162,18,9
2,79,157,1,2,10650,2,26,2,162,20,4
1,2,3,1,1,169,1,1,1,163,1,3
1,6,11,1,1,688,1,1,3,163,3,18
1,17,33,1,1,2214,1,9,4,163,5,11
1,21,41,1,1,2787,1,9,7,163,6,3
1,24,48,2,1,3207,3,5,8,163,7,5
1,31,62,2,1,4195,4,3,9,163,9,7
1,34,67,1,1,4534,4,7,10,163,10,2
2,48,95,1,2,6395,6,10,9,163,12,24
2,56,111,1,1,7551,6,16,6,163,13,18
2,60,119,1,2,8074,5,18,6,163,14,19
2,68,135,1,1,9135,3,22,5,163,17,6
2,72,144,2,1,9755,3,23,8,163,18,1
1,8,15,1,1,957,2,2,1,164,1,10
1,28,55,1,1,3730,1,6,2,164,6,11
1,32,64,2,1,4320,2,7,10,164,7,10
1,39,78,2,1,5280,4,8,11,164,10,10
2,43,86,2,1,5825,4,10,2,164,11,19
2,49,97,1,1,6544,6,12,6,164,12,2
2,56,111,1,1,7543,6,16,6,164,14,27
2,62,123,1,1,8301,5,19,2,164,16,13
2,63,125,1,1,8463,2,19,2,164,17,28
2,72,144,2,1,9737,3,23,8,164,19,7
2,73,145,1,1,9834,3,23,8,164,20,6
1,1,1,1,2,59,1,1,1,166,1,32
2,46,91,1,1,6137,2,5,9,166,12,36
2,74,147,1,2,9953,3,24,5,166,19,12
2,79,158,2,2,10693,2,26,2,166,20,2
1,1,2,2,1,90,1,1,1,168,1,2
1,13,25,1,1,1664,2,3,5,168,6,15
2,57,113,1,2,7620,6,7,12,168,15,11
2,68,135,1,1,9178,3,22,5,168,18,7
1,4,8,2,1,497,1,20,2,171,1,1
1,28,55,1,1,3734,1,6,2,171,5,1
2,43,86,2,1,5811,4,10,2,171,11,5
2,44,88,2,1,5942,4,10,2,171,12,2
2,64,127,1,2,8579,3,19,2,171,17,5
2,82,163,1,2,11028,3,27,3,171,20,5
2,83,165,1,1,11168,3,20,2,171,21,4
1,9,17,1,2,1145,1,2,3,172,1,11
1,20,39,1,1,2639,1,9,7,172,4,8
1,30,59,1,2,3974,5,7,5,172,8,14
1,35,70,2,1,4741,4,7,10,172,10,1
2,65,129,1,1,8719,3,19,2,172,17,14
1,4,8,2,1,532,1,20,2,173,2,1
1,6,12,2,1,747,1,1,3,173,3,10
1,15,29,1,2,1915,1,3,3,173,4,24
2,44,87,1,1,5876,4,10,2,173,11,22
2,54,108,2,1,7318,6,14,6,173,17,16
1,29,58,2,1,3898,1,3,9,174,6,21
1,37,74,2,2,4987,4,8,8,174,9,7
2,46,92,2,2,6129,2,5,9,174,12,30
1,1,2,2,2,91,1,1,1,175,1,6
1,22,44,2,2,2974,1,5,8,175,3,5
1,24,48,2,2,3239,3,5,8,175,4,14
1,26,52,2,1,3484,5,6,2,175,5,13
1,35,70,2,2,4733,4,7,10,175,7,5
1,41,81,1,1,5457,4,3,9,175,10,17
2,48,96,2,2,6514,6,10,9,175,12,19
2,49,98,2,1,6634,6,12,6,175,13,10
2,62,124,2,1,8374,5,19,2,175,16,13
2,64,127,1,1,8588,3,19,2,175,17,4
2,84,167,1,1,11307,3,20,2,175,21,5
1,21,42,2,2,20040,1,9,7,175,30,12
1,4,8,2,1,520,1,20,2,176,1,7
1,7,14,2,2,938,1,2,1,176,2,3
1,8,16,2,1,1087,2,2,1,176,3,18
1,13,26,2,1,1709,2,3,5,176,6,4
2,43,85,1,2,5782,4,10,2,176,11,42
2,48,95,1,2,6418,6,10,9,176,12,17
2,80,159,1,1,10768,2,27,3,176,21,14
1,1,1,1,1,8,1,1,1,177,1,11
1,12,23,1,1,1528,1,3,5,177,6,7
1,33,65,1,1,4359,4,7,10,177,8,12
2,67,134,2,1,9053,3,21,6,177,16,1
2,71,142,2,1,9648,3,22,3,177,18,1
2,82,163,1,2,11053,3,27,3,177,21,8
1,14,28,2,1,1881,1,3,3,178,2,10
1,19,38,2,1,2567,2,4,6,178,3,7
1,22,43,1,2,2867,1,5,8,178,4,4
1,29,58,2,2,3891,1,3,9,178,7,4
